ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None, g_depth_limit
XMM_LSS, 225, 8,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 9,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 9,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 9,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 9,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 10,    20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 10,    0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 10,    0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 10,    0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

# XMM_LSS deep season
XMM_LSS, 225, 4,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 4,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 4,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 4,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5
XMM_LSS, 180, 4,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# ELAISS1 shallow seasons
ELAISS1, 225, 0,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 0,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 0,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 0,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 1,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 1,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 1,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 1,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 2,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 2,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 2,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 2,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 3,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 3,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 3,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 4,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 4,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 4,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 4,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 6,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 6,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 6,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 6,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 7,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 7,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 7,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 7,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 8,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 8,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 8,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 8,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 9,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 9,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 9,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 9,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ELAISS1, 225, 10,    20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 10,    0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 10,    0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 10,    0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

# ELAISS1 deep season
ELAISS1, 225, 5,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 225, 5,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ELAISS1, 225, 5,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ELAISS1, 225, 5,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5
ELAISS1, 180, 5,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# ECDFS shallow seasons
ECDFS, 225, 0,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 0,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 0,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 0,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 1,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 1,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 1,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 1,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 2,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 2,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 2,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
