ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None,g_depth_limit

# COSMOS Shallow season
XMM_LSS, 120, 8,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 8,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 8,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 8,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  8,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  8,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  8,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  8,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 9,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 9,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 9,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 9,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  9,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  9,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  9,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  9,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 10,    4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 10,    0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 10,    0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 10,    0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  10,    0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  10,    0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  10,    4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  10,    3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

# XMM_LSS deep season
XMM_LSS, 120, 4,     12, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
XMM_LSS, 120, 4,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 120, 4,     0, 2, 0, 3, 0, 0,           200, 0.5, none, 22.8 
XMM_LSS, 120, 4,     0, 0, 2, 0, 3, 0,           200, 0.5, none, 22.8
XMM_LSS, 180, 4,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# ELAISS1 shallow seasons
ELAISS1, 120, 0,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 120, 0,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
ELAISS1, 120, 0,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
ELAISS1, 120, 0,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
ELAISS1, 80,  0,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
ELAISS1, 80,  0,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  0,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  0,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

ELAISS1, 120, 1,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 120, 1,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
ELAISS1, 120, 1,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
ELAISS1, 120, 1,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
ELAISS1, 80,  1,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
ELAISS1, 80,  1,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  1,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  1,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

ELAISS1, 120, 2,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 120, 2,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
ELAISS1, 120, 2,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
ELAISS1, 120, 2,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
ELAISS1, 80,  2,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
ELAISS1, 80,  2,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  2,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  2,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

ELAISS1, 120, 3,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 120, 3,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
ELAISS1, 120, 3,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
ELAISS1, 120, 3,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
ELAISS1, 80,  3,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
ELAISS1, 80,  3,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  3,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  3,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

ELAISS1, 120, 4,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ELAISS1, 120, 4,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
ELAISS1, 120, 4,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
ELAISS1, 120, 4,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
ELAISS1, 80,  4,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
ELAISS1, 80,  4,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
ELAISS1, 80,  4,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
